videoId,title,thumbnail,relevant,theme
_uQrJ0TkZlc,Python Full Course for Beginners,https://i.ytimg.com/vi/_uQrJ0TkZlc/hqdefault.jpg,1,Python
kqtD5dpn9C8,Python for Beginners - Learn Coding with Python in 1 Hour,https://i.ytimg.com/vi/kqtD5dpn9C8/hqdefault.jpg,1,Python
nluUYtejoIE,Python Basics: Your FIRST Program in Under a Minute! 🚀,https://i.ytimg.com/vi/nluUYtejoIE/hqdefault.jpg,1,Python
b093aqAZiPU,👩‍💻 Python for Beginners Tutorial,https://i.ytimg.com/vi/b093aqAZiPU/hqdefault.jpg,1,Python
K5KVEU3aaeQ,Python Full Course for Beginners,https://i.ytimg.com/vi/K5KVEU3aaeQ/hqdefault.jpg,1,Python
t8pPdKYpowI,Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],https://i.ytimg.com/vi/t8pPdKYpowI/hqdefault.jpg,1,Python
ix9cRaBkVe0,Python Full Course for free 🐍,https://i.ytimg.com/vi/ix9cRaBkVe0/hqdefault.jpg,1,Python
fWjsdhR3z3c,Learn Python in Less than 10 Minutes for Beginners (Fast &amp; Easy),https://i.ytimg.com/vi/fWjsdhR3z3c/hqdefault.jpg,1,Python
rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial],https://i.ytimg.com/vi/rfscVS0vtbw/hqdefault.jpg,1,Python
Ro_MScTDfU4,Learn Python in Only 30 Minutes (Beginner Tutorial),https://i.ytimg.com/vi/Ro_MScTDfU4/hqdefault.jpg,1,Python
Z1Yd7upQsXY,Python Tutorial for Absolute Beginners #1 - What Are Variables?,https://i.ytimg.com/vi/Z1Yd7upQsXY/hqdefault.jpg,1,Python
mRMmlo_Uqcs,you need to learn Python RIGHT NOW!! // EP 1,https://i.ytimg.com/vi/mRMmlo_Uqcs/hqdefault.jpg,1,Python
eWRfhZUzrAc,Python for Beginners – Full Course [Programming Tutorial],https://i.ytimg.com/vi/eWRfhZUzrAc/hqdefault.jpg,1,Python
fSgNjOvXTCs,PyTorch vs. TensorFlow,https://i.ytimg.com/vi/fSgNjOvXTCs/hqdefault.jpg,1,Python
VUoM7p_Fb1k,BEST Python Libraries when getting started in Machine Learning!,https://i.ytimg.com/vi/VUoM7p_Fb1k/hqdefault.jpg,1,Python
aegyF26ppP4,How to learn Python fast for data analysis? #dataanalyst #python #pandas #numpy #matplotlib,https://i.ytimg.com/vi/aegyF26ppP4/hqdefault.jpg,0,Python
9crcSlhReas,Python Bytes - Linear Regression Prediction #python #datascience #coding Code in Description,https://i.ytimg.com/vi/9crcSlhReas/hqdefault.jpg,0,Python
MZsUalDCQpw,Dictionary Views are Awesome in Python,https://i.ytimg.com/vi/MZsUalDCQpw/hqdefault.jpg,1,Python
VlofYskOTfE,3 Python MISTAKES You Should Avoid!! #python #programming #coding,https://i.ytimg.com/vi/VlofYskOTfE/hqdefault.jpg,0,Python
mx3g7XoPVNQ,A bad day to use python,https://i.ytimg.com/vi/mx3g7XoPVNQ/hqdefault.jpg,1,Python
t8k9SFIod0Q,Taking My 20 Foot Python To The Park,https://i.ytimg.com/vi/t8k9SFIod0Q/hqdefault.jpg,0,Python
J9kP7bjwERk,-Beginner’s Roadmap to Learn Python | 2025 Starter Guide #shorts #python #pythonprogramming,https://i.ytimg.com/vi/J9kP7bjwERk/hqdefault.jpg,1,Python
Ht_LdGroNZE,LEVEL UP Your Python Game!! #python #coding #programming,https://i.ytimg.com/vi/Ht_LdGroNZE/hqdefault.jpg,1,Python
jo6U429l3JM,1 TRILLION messages #javascript #python #web #coding #programming,https://i.ytimg.com/vi/jo6U429l3JM/hqdefault.jpg,0,Python
St9pE2bv0zQ,A funny visualization of C++ vs Python | Funny Shorts | Meme,https://i.ytimg.com/vi/St9pE2bv0zQ/hqdefault.jpg,1,Python
3sim8jgkpTU,Functions in Python Explained!,https://i.ytimg.com/vi/3sim8jgkpTU/hqdefault.jpg,1,Python
ss-I6WAiMFA,Python LAMBDA FUNCTION?! #python #programming #coding,https://i.ytimg.com/vi/ss-I6WAiMFA/hqdefault.jpg,1,Python
